col1,col2
6.570004,-5.720691
6.7934313,-6.8401775
14.838969,-4.31436
6.7538457,6.368427
15.180346,4.3313828
12.549461,12.2719345
14.976672,-4.0281935
14.514501,-3.069761
11.190015,11.236886
17.455088,2.2157292
8.815614,-7.019126
6.0705414,12.223544
8.043287,-7.462107
4.3259444,10.856245
6.861763,-5.788121
15.984166,7.246052
15.651315,3.3151824
6.567289,12.811402
14.286885,-3.6201851
6.7812834,5.8789415
6.3061557,12.940801
6.5891304,-5.675827
13.475254,-3.2662795
14.18883,-4.109007
5.6517696,12.040379
11.509043,13.77893
6.458516,12.6414585
6.466798,6.468407
14.098156,12.996065
7.246364,12.931602
15.888334,5.6580043
12.501184,12.400826
11.217092,0.09647517
6.0655003,6.008104
6.7887697,5.9187593
11.949993,-0.5919313
17.353245,2.2263646
7.6634464,6.58092
16.618637,2.605176
5.9812045,12.4815445
13.471199,-2.7883885
12.90646,-2.4536352
6.626756,12.969806
7.516919,-6.0818377
10.907463,-0.44446638
12.913662,13.214134
15.869803,6.9169445
14.843782,3.9646814
8.728163,-7.0170093
6.183013,12.320287
17.04908,3.278892
7.6668115,-6.4506593
16.22984,5.6824694
7.2451367,-5.8566008
15.541186,2.9920604
16.314428,6.041077
6.636808,12.55333
8.122862,-7.195334
11.957908,-2.0861351
11.577123,13.730196
6.3131027,-5.648114
5.2609715,10.524372
16.123363,3.8531206
9.018352,-6.938583
8.050167,-7.2359858
15.782527,6.3425694
5.0384984,-1.5051798
7.3800006,13.200955
15.550098,4.64777
4.46453,-1.4577792
11.1871,11.835528
15.550468,3.192433
14.8130245,-4.2396326
12.798994,12.454559
15.315875,4.3507447
6.566534,12.610627
15.350821,4.553971
5.576927,-1.9220945
5.0940247,-1.3477155
-0.22737966,0.3589733
4.7328477,10.920104
13.226337,-2.2018397
5.21622,-1.8883697
14.294836,12.991713
16.092127,6.6168675
11.720134,0.0049572177
11.003616,-0.48488274
6.0092287,5.9513297
16.420197,5.80847
8.084388,-6.7298985
7.752792,-7.171504
11.770294,-2.283535
14.109031,-3.4625049
6.860444,13.035903
6.533112,6.38169
6.5383186,13.17814
6.5155373,-6.3949647
7.869559,12.086482
-1.8011315,5.277774
16.812859,2.4263265
14.035482,-4.255058
11.6416025,-0.23727667
16.414139,3.7114403
7.8379817,12.018993
6.2123055,13.084729
11.543964,11.58785
16.338516,5.7603517
8.873829,-6.6690516
15.538207,3.0191033
5.161482,11.152488
16.663187,2.9927099
14.775462,-4.2104053
6.349542,-5.5855374
5.993933,12.657685
12.955624,-2.4007204
7.082894,13.17908
5.3312745,10.883931
6.587143,5.9346733
6.39419,-6.1685987
11.404969,13.369707
6.852965,-6.699524
13.69269,-3.8193107
-0.35402736,0.48477542
6.059112,-2.3326771
7.7262278,-7.0835876
7.1728067,12.4064665
14.101577,12.984134
11.344422,0.019717403
16.334991,2.9273856
8.319659,-7.122873
4.997863,-1.4614781
6.2961483,-6.1483135
11.116065,11.587458
5.3581743,10.612787
11.332275,13.769571
14.386566,12.87355
4.689856,11.555698
5.0398726,-1.4769825
14.506856,-2.9006553
7.095353,12.199602
13.607587,-3.313154
14.939107,-4.3494782
13.763159,-4.0430107
4.928961,-1.6170586
13.881139,-4.1058536
16.066246,3.5739086
6.249313,-5.6242094
10.933266,-0.18853801
16.252012,5.603501
16.228743,5.939246
6.047606,12.279888
5.5177298,-1.968736
6.4154906,-6.6481423
14.499207,-2.956822
5.263743,-1.919152
4.5407596,-1.5013086
5.0880756,10.295231
15.889549,3.6846745
6.135043,6.091355
6.6642756,-5.839886
15.548679,5.170898
12.341484,12.3399315
6.8600693,-5.9270844
11.32749,13.375756
6.953751,12.611375
5.200617,10.368111
-0.39216858,0.5226045
16.85487,3.5513992
6.1835093,6.098305
7.1008368,12.834372
13.760989,-4.1445265
6.900645,13.001955
11.615333,-0.21135499
6.7401514,5.9426103
16.381409,3.7732518
10.90136,13.399265
7.772145,12.098622
6.156865,12.703334
16.232887,5.72651
-1.8111534,5.2878795
14.618936,12.8207
6.3902364,12.814582
-1.8768097,5.354062
17.245283,3.1411936
7.0815954,13.201397
15.945173,6.330831
6.8060527,-6.807717
7.750993,-7.158722
13.103145,-2.6887553
16.163233,5.896713
6.528416,12.352789
4.5922036,-1.6295401
6.7548227,13.061361
16.374392,6.046
8.829873,-7.017658
13.208493,-2.8950136
6.648143,6.07046
14.104376,13.125468
11.461859,-2.0507348
11.871079,-0.51593685
6.101264,6.0634155
4.8355803,-1.7127862
15.887483,3.6183763
4.4953847,-1.4599618
7.191468,-6.988722
6.170467,-5.7595153
5.3636694,10.843325
14.034002,-2.8460338
5.6392193,-1.5566007
4.9635634,-1.6275612
14.199938,12.780723
15.515915,3.9188786
16.536966,1.976732
16.366707,6.015262
11.570301,13.5824175
7.958199,-7.4520717
7.2556133,13.00126
5.104071,11.142081
16.395638,3.5636837
6.5293217,12.593617
13.634418,-3.5923128
8.44276,-3.9469473
4.598317,-1.5226502
8.45701,-3.8543308
11.061033,0.071272194
5.9753275,12.7428665
11.691435,-0.013417867
5.2476716,11.305418
12.121069,-2.1345792
14.241037,-4.2225494
8.247262,-3.4288793
11.070985,-0.35647738
7.813869,-7.44424
17.086388,3.1371613
8.11917,-3.3821993
15.687646,4.530163
15.404275,3.9722025
4.748765,-1.8318348
15.581442,3.6585999
6.1461344,12.310262
6.7380466,5.9218426
-0.2958977,0.42705667
11.847129,12.227262
12.865532,-2.4517002
8.150789,-7.5902524
6.3317103,-6.688326
8.0844555,-7.1074796
12.808021,13.170543
11.31721,13.799303
14.314382,-4.046914
12.206297,12.330775
13.807811,12.614517
8.879045,-7.0544086
15.578535,4.7210584
-0.2789605,0.40995482
7.6732802,-5.8134327
12.938758,-2.3969412
15.755226,4.0819755
5.3337965,-1.3268299
17.119484,1.8594801
15.634517,6.070163
15.771623,6.5535145
8.019301,-6.7445645
8.640278,-6.5376205
6.573869,-5.869145
17.330915,2.412596
5.245167,11.180382
4.792056,-1.7187315
4.367751,10.818143
5.343646,10.607337
5.539694,-2.0189672
11.353336,11.912369
6.7993617,-6.077826
16.823715,3.5882359
15.9260845,5.8983703
15.209646,4.2153406
5.711519,-1.6489652
15.255278,-3.8144658
15.185208,4.227896
13.208591,-2.8797712
11.323344,11.521962
6.276096,6.0767484
17.082453,2.5497994
6.239197,13.061551
16.481073,3.3749645
7.096082,12.804454
15.92751,7.1950293
6.850655,13.080358
6.2335076,-6.2291117
7.0857797,12.210939
12.83054,13.190177
4.737539,-1.66959
17.173899,3.1679657
14.86137,3.7732213
15.390187,4.6938877
8.548194,-3.8906627
14.282699,12.734731
13.613088,-4.23075
5.207461,-1.3089533
15.581711,4.098737
11.235991,0.23675019
16.397799,2.8493254
15.8370075,3.0695596
