col1,col2
54.06136,10.521004
27.945074,-31.296255
41.455193,-10.438101
-41.29831,35.863716
-22.893852,22.921139
6.85869,38.1624
-38.674698,14.753475
27.357817,-20.500288
-33.026264,22.91118
39.445602,17.59818
-25.559353,-45.22983
-47.88667,28.496101
-4.5432954,-14.7128105
-49.314964,10.241754
38.441936,-26.514626
14.035301,36.0399
35.347755,-26.781279
0.609019,8.99318
-39.395657,-19.876137
-9.44266,33.033203
-32.915684,-9.216538
0.020986177,-32.57528
-26.200813,27.256031
26.40145,-36.946987
11.944545,44.367535
42.40719,30.174997
-2.8863552,31.868101
-9.11843,-45.68473
3.606131,25.445066
47.00538,13.199069
-8.473148,9.077057
-45.213905,18.752544
3.7869318,40.287636
43.742184,-27.661493
-51.58401,22.393011
22.112902,-25.11304
-52.517235,-16.765196
38.592556,-32.26639
21.184298,-13.826643
-49.07636,30.114576
11.356627,-14.322221
36.85249,18.88906
46.723648,-24.37851
-36.745224,36.640602
-37.36875,34.3568
-45.077305,-15.517932
-56.163933,-7.02556
-41.933746,34.034676
-3.563499,-9.612232
16.929401,22.901464
54.50665,12.988432
-42.537365,38.654076
-49.145584,31.364449
53.442898,-12.069029
3.4073746,46.756275
-41.736465,-38.38254
26.810732,-28.2411
-39.009216,-31.606283
24.625105,-45.89256
-43.399883,-19.35613
-12.131194,15.069871
5.5814514,26.336874
35.735245,-22.119442
-33.640495,29.585434
-8.958981,-19.47922
38.129196,-19.772816
-44.474216,-14.612031
-31.21944,24.497835
-37.419975,31.685457
29.984083,-33.104534
38.802162,2.2769969
29.767607,-18.133158
-3.5340822,-14.34856
38.63071,26.334446
46.56896,-25.490227
6.057934,10.585269
53.890114,10.452739
-49.296505,10.29027
0.6871108,-21.955715
-9.2544,-16.821947
-38.40445,12.414508
2.0867372,45.654823
5.935304,-8.486272
-0.6321174,37.687798
30.635311,-27.449759
-31.14278,19.66012
-29.483702,16.63485
39.605255,-19.126936
-35.724304,-18.496817
-52.178032,21.598866
44.73124,14.28837
-7.508954,10.518812
-12.366275,0.7531293
-43.601818,-38.579853
32.958195,-27.023952
13.162708,40.536144
-36.193962,-24.380896
1.0186678,6.7314367
-39.17957,-17.487087
-2.8065825,25.864527
-4.059299,6.7992105
37.33846,-23.165686
-42.51904,-31.143637
-27.24873,7.5330153
35.443787,1.4403071
-46.56827,-15.570116
11.282822,-38.380646
13.45365,27.612331
-39.301964,-37.74925
-41.033688,-31.371294
-2.4979599,14.330671
-9.302178,-41.481052
50.021736,-17.77194
15.8366785,18.108288
-11.770194,-39.117607
53.662975,-2.917364
0.013132719,24.574825
-43.17363,34.605854
52.045692,13.183694
12.294817,20.51803
39.033535,-14.53089
12.966331,19.029127
-18.553661,-43.1841
-12.810457,-43.10225
62.96593,19.87868
23.225618,-42.694992
-22.947977,18.109734
-18.480837,-39.371548
42.94644,27.408121
-6.5689707,15.031524
-43.721428,9.056131
-51.617657,22.375647
-0.9752753,-19.728657
-3.9900632,20.154001
